host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
contaminator,InWindow_1000_to_1299,1149.5,14,15,1,5,0.018418668849378993,0.018418668849378993,0.031080671382466233,0.06514371898648888,0.029972479711544618,0.029972479711544618,0.018418668849378993,0.018418668849378993,0.031080671382466233,0.06514371898648888,0.029972479711544618,0.029972479711544618,1,0,0
contaminee,InWindow_1000_to_1299,1149.5,6,6,2,2,0.0949827438892898,0.01352360983416069,0.13797725704300665,0.166965840937509,0.06552583467372991,0.022538318572011187,0.0949827438892898,0.01352360983416069,0.13797725704300665,0.166965840937509,0.06552583467372991,0.022538318572011187,0.8333333333333334,0.16666666666666666,0
donor,InWindow_1000_to_1299,1149.5,3,3,3,3,0.024526410940024487,0,0.03413946716499585,0.05993463381025617,0.0399570892071708,NA,0.024526410940024487,0,0.03413946716499585,0.05993463381025617,0.0399570892071708,NA,0.3333333333333333,0.3333333333333333,0.3333333333333333
dual,InWindow_1000_to_1299,1149.5,27,28,2,1,0.06399394916324079,0.021997346575484165,0.0939353087596394,0.16896051830729972,0.07274875920704847,0.03505031910155107,0.06399394916324079,0.021997346575484165,0.0939353087596394,0.16896051830729972,0.07274875920704847,0.03505031910155107,0.7142857142857143,0.2857142857142857,0
recipient,InWindow_1000_to_1299,1149.5,16,16,1,4,0.026489824244786714,0.026489824244786714,0.041011113248896607,0.0887309164821922,0.03552885831604437,0.03552885831604437,0.026489824244786714,0.026489824244786714,0.041011113248896607,0.0887309164821922,0.03552885831604437,0.03552885831604437,1,0,0
single,InWindow_1000_to_1299,1149.5,11,11,1,1,0.010831624747810032,0.010831624747810032,0.01575758076293847,0.034602550719885564,0.01848622468727381,0.01848622468727381,0.010831624747810032,0.010831624747810032,0.01575758076293847,0.034602550719885564,0.01848622468727381,0.01848622468727381,1,0,0
contaminator,InWindow_2000_to_2299,2149.5,10,11,1,3,0.016326616739189594,0.016326616739189594,0.03796569225071136,0.06850706640419026,0.028899244996945822,0.028899244996945822,0.016326616739189594,0.016326616739189594,0.03796569225071136,0.06850706640419026,0.028899244996945822,0.028899244996945822,1,0,0
contaminee,InWindow_2000_to_2299,2149.5,9,9,2,2,0.06176434722948233,0.024884657030721236,0.08111155173751763,0.12355033075660776,0.0447902526156018,0.027302836571991205,0.06176434722948233,0.024884657030721236,0.08111155173751763,0.12355033075660776,0.0447902526156018,0.027302836571991205,0.8888888888888888,0.1111111111111111,0
donor,InWindow_2000_to_2299,2149.5,10,10,2,6,0.013578977575633288,0.014011187881858768,0.01630929703171295,0.04537089609413242,0.022275823349110425,0.023357550897619962,0.013578977575633288,0.014011187881858768,0.01630929703171295,0.04537089609413242,0.022275823349110425,0.023357550897619962,0.9,0.1,0
dual,InWindow_2000_to_2299,2149.5,39,42,2,2,0.06929985941699915,0.02575717032613322,0.09156104692734969,0.16437759801162274,0.07536864037465513,0.03568950244379059,0.06929985941699915,0.02575717032613322,0.09156104692734969,0.16437759801162274,0.07536864037465513,0.03568950244379059,0.6904761904761905,0.30952380952380953,0
recipient,InWindow_2000_to_2299,2149.5,14,14,1,4,0.028476398502366183,0.028476398502366183,0.02284896135440377,0.08766168981292329,0.03977583790539633,0.03977583790539633,0.028476398502366183,0.028476398502366183,0.02284896135440377,0.08766168981292329,0.03977583790539633,0.03977583790539633,1,0,0
single,InWindow_2000_to_2299,2149.5,5,5,1,1,0.016268151710602235,0.016268151710602235,0.016667790775061697,0.033305094415038025,0.015309584234137934,0.015309584234137934,0.016268151710602235,0.016268151710602235,0.016667790775061697,0.033305094415038025,0.015309584234137934,0.015309584234137934,1,0,0
contaminator,InWindow_3000_to_3299,3149.5,8,8,2,8,0.0749963477747122,0.012611343614586889,0.1252983139029273,0.14918786475186477,0.05315475391407187,0.0249031193795911,0.0749963477747122,0.012611343614586889,0.1252983139029273,0.14918786475186477,0.05315475391407187,0.0249031193795911,0.875,0.125,0
contaminee,InWindow_3000_to_3299,3149.5,4,4,2,2,0.05747862269077629,0.005651089207582856,0.15227114411251771,0.16244142750676777,0.08461220586763314,0.011302178415165714,0.05747862269077629,0.005651089207582856,0.15227114411251771,0.16244142750676777,0.08461220586763314,0.011302178415165714,0.75,0.25,0
donor,InWindow_3000_to_3299,3149.5,14,14,2,7,0.028113671724017165,0.027662204910218036,0.01718715791052016,0.07497775606508854,0.03613254750332429,0.03483715545829062,0.028113671724017165,0.027662204910218036,0.01718715791052016,0.07497775606508854,0.03613254750332429,0.03483715545829062,0.9285714285714286,0.07142857142857142,0
dual,InWindow_3000_to_3299,3149.5,27,27,1,2,0.054091831348231194,0.054091831348231194,0.06778960976939226,0.16950519295777708,0.06391136683381535,0.06391136683381535,0.054091831348231194,0.054091831348231194,0.06778960976939226,0.16950519295777708,0.06391136683381535,0.06391136683381535,1,0,0
recipient,InWindow_3000_to_3299,3149.5,7,7,1,6,0.009193771799478079,0.009193771799478079,0.020418050871363537,0.037337013119260895,0.018067783696708802,0.018067783696708802,0.009193771799478079,0.009193771799478079,0.020418050871363537,0.037337013119260895,0.018067783696708802,0.018067783696708802,1,0,0
single,InWindow_3000_to_3299,3149.5,4,4,1,1,0.010200410524353916,0.010200410524353916,0.017066943593621552,0.03063688060857986,0.020400821048707832,0.020400821048707832,0.010200410524353916,0.010200410524353916,0.017066943593621552,0.03063688060857986,0.020400821048707832,0.020400821048707832,1,0,0
contaminator,InWindow_4000_to_4299,4149.5,5,6,1,5,0.00849997388867858,0.00849997388867858,0.027357729427972377,0.040909987467815094,0.02039953733262858,0.02039953733262858,0.00849997388867858,0.00849997388867858,0.027357729427972377,0.040909987467815094,0.02039953733262858,0.02039953733262858,1,0,0
contaminee,InWindow_4000_to_4299,4149.5,6,6,2,2,0.05657176243292192,0.01150636810948592,0.08166503720095318,0.10877474507157472,0.04549986313873662,0.021664092052885386,0.05657176243292192,0.01150636810948592,0.08166503720095318,0.10877474507157472,0.04549986313873662,0.021664092052885386,0.8333333333333334,0.16666666666666666,0
donor,InWindow_4000_to_4299,4149.5,4,4,1,4,0.007523186388851786,0.007523186388851786,0.010041392773288388,0.020049352781118697,0.011699241853274108,0.011699241853274108,0.007523186388851786,0.007523186388851786,0.010041392773288388,0.020049352781118697,0.011699241853274108,0.011699241853274108,1,0,0
dual,InWindow_4000_to_4299,4149.5,32,36,1,2,0.044541622763896706,0.044541622763896706,0.059088293402098084,0.17212678998873612,0.0582934586174987,0.0582934586174987,0.044541622763896706,0.044541622763896706,0.059088293402098084,0.17212678998873612,0.0582934586174987,0.0582934586174987,1,0,0
recipient,InWindow_4000_to_4299,4149.5,16,16,2,2,0.019833036960962298,0.014266156894943866,0.0169041290001334,0.050305931088137225,0.025435728675044126,0.025603768643105124,0.019833036960962298,0.014266156894943866,0.0169041290001334,0.050305931088137225,0.025435728675044126,0.025603768643105124,0.9375,0.0625,0
single,InWindow_4000_to_4299,4149.5,5,5,1,1,0.007439386338834414,0.007439386338834414,0.01016159787355558,0.020300926185045785,0.012846453102957713,0.012846453102957713,0.007439386338834414,0.007439386338834414,0.01016159787355558,0.020300926185045785,0.012846453102957713,0.012846453102957713,1,0,0
contaminator,InWindow_5000_to_5299,5149.5,9,9,1,7,0.011081514075503562,0.011081514075503562,0.017351301847284506,0.04140877418469423,0.02024933052021647,0.02024933052021647,0.011081514075503562,0.011081514075503562,0.017351301847284506,0.04140877418469423,0.02024933052021647,0.02024933052021647,1,0,0
contaminee,InWindow_5000_to_5299,5149.5,5,5,2,2,0.07039952053326824,0.01178778350869394,0.11228331511163775,0.13247234836604976,0.062057770065823914,0.020715551029485402,0.07039952053326824,0.01178778350869394,0.11228331511163775,0.13247234836604976,0.062057770065823914,0.020715551029485402,0.8,0.2,0
donor,InWindow_5000_to_5299,5149.5,8,9,3,5,0.01850379130577569,0.0193734946124943,0.027511955501626814,0.057856796179420425,0.02908558801862165,0.027966021423616923,0.01850379130577569,0.0193734946124943,0.027511955501626814,0.057856796179420425,0.02908558801862165,0.027966021423616923,0.6666666666666666,0.2222222222222222,0.1111111111111111
dual,InWindow_5000_to_5299,5149.5,14,14,1,2,0.0652120382762821,0.0652120382762821,0.0725221926263149,0.1542113967963586,0.08350076894175681,0.08350076894175681,0.0652120382762821,0.0652120382762821,0.0725221926263149,0.1542113967963586,0.08350076894175681,0.08350076894175681,1,0,0
recipient,InWindow_5000_to_5299,5149.5,20,21,1,5,0.022325646690613706,0.022325646690613706,0.023984631141842964,0.0985521815724586,0.03879875472249007,0.03879875472249007,0.022325646690613706,0.022325646690613706,0.023984631141842964,0.0985521815724586,0.03879875472249007,0.03879875472249007,1,0,0
single,InWindow_5000_to_5299,5149.5,9,9,1,1,0.010592259157601022,0.010592259157601022,0.013636550646536726,0.027317241328216807,0.01892825234870601,0.01892825234870601,0.010592259157601022,0.010592259157601022,0.013636550646536726,0.027317241328216807,0.01892825234870601,0.01892825234870601,1,0,0
contaminator,InWindow_6000_to_6299,6149.5,19,22,1,1,0.019196325099783404,0.019196325099783404,0.017024716011623343,0.05081684402309826,0.02136426058625377,0.02136426058625377,0.019196325099783404,0.019196325099783404,0.017024716011623343,0.05081684402309826,0.02136426058625377,0.02136426058625377,1,0,0
