POSITION_WRT_HXB2,MEDIAN_PAIRWISE_DISTANCE_BETWEEN_STANDARD_REFS
500,0.168906344
501,0.177648481
502,0.173084438
503,0.168052661
504,0.168841063
505,0.164816903
506,0.163604558
507,0.163147046
508,0.164154394
509,0.163662801
510,0.16436544
511,0.164634034
512,0.165573889
513,0.1657838
514,0.166107167
515,0.167684602
516,0.168901459
517,0.170271351
518,0.170641172
519,0.172592129
520,0.173993268
521,0.174128367
522,0.174583538
523,0.174746327
524,0.174855348
525,0.175331856
526,0.175955191
527,0.176477923
528,0.177571407
529,0.178615056
530,0.179548371
531,0.18008304
532,0.180654642
533,0.181757516
534,0.18333529
535,0.184659957
536,0.186017048
537,0.186987394
538,0.187886992
539,0.188877347
540,0.189440754
541,0.189849016
542,0.190308356
543,0.190779374
544,0.191386946
545,0.19176897
546,0.192016341
547,0.192349761
548,0.192692098
549,0.193028561
550,0.1935605
551,0.193795562
552,0.194087227
553,0.194400898
554,0.1947713
555,0.195201932
556,0.195865121
557,0.196809107
558,0.197242134
559,0.197941118
560,0.198478431
561,0.198953459
562,0.199213859
563,0.199319471
564,0.199507406
565,0.200018312
566,0.200594856
567,0.200799937
568,0.201054993
569,0.201221258
570,0.201524293
571,0.201535292
572,0.201583181
573,0.201560041
574,0.201619503
575,0.201675193
576,0.201761196
577,0.201899219
578,0.2020216
579,0.202197879
580,0.202574177
581,0.203062957
582,0.203487129
583,0.203928273
584,0.204329601
585,0.204718515
586,0.20507627
587,0.205426958
588,0.205846517
589,0.20664457
590,0.207464839
591,0.208226558
592,0.208823081
593,0.209329725
594,0.209959119
595,0.210759224
596,0.211342357
597,0.212034413
598,0.212607173
599,0.21326936
600,0.213916281
601,0.214480807
602,0.215134349
603,0.215720367
604,0.216279929
605,0.21681392
606,0.217178895
607,0.217351507
608,0.217626759
609,0.217837905
610,0.21807853
611,0.218429789
612,0.218991661
613,0.219521158
614,0.219782179
615,0.220052921
616,0.220396353
617,0.220619039
618,0.220826088
619,0.221060108
620,0.221298933
621,0.221797732
622,0.22208073
623,0.222537745
624,0.223100583
625,0.223352355
626,0.223570178
627,0.223835644
628,0.224126939
629,0.224422574
630,0.224736129
631,0.225006663
632,0.225297069
633,0.22559952
634,0.225846682
635,0.226009983
636,0.226254214
637,0.226527667
638,0.226932287
639,0.227302706
640,0.227700784
641,0.22807915
642,0.228344233
643,0.228624367
644,0.228821382
645,0.229101031
646,0.229519508
647,0.229813972
648,0.230055453
649,0.230647571
650,0.231173886
651,0.231688469
652,0.231893113
653,0.23210876
654,0.232297497
655,0.23238992
656,0.232377128
657,0.232339469
658,0.232343585
659,0.232339821
660,0.232391642
661,0.232557405
662,0.232615066
663,0.232672724
664,0.232746579
665,0.232845905
666,0.232845641
667,0.232832896
668,0.232795675
669,0.232835126
670,0.232895357
671,0.232936679
672,0.232995976
673,0.232978684
674,0.232994908
675,0.233003443
676,0.233036796
677,0.233049477
678,0.233085303
679,0.233099555
680,0.23310037
681,0.233113548
682,0.23316348
683,0.233213284
684,0.233260546
685,0.233364497
686,0.233468362
687,0.233535224
688,0.233621392
689,0.233708197
690,0.233851578
691,0.233980944
692,0.234109871
693,0.234225842
694,0.234321147
695,0.234453355
696,0.234562605
697,0.234644266
698,0.234707605
699,0.234779744
700,0.234830787
701,0.234921862
702,0.234988845
703,0.235150347
704,0.235259434
705,0.235394499
706,0.235501265
707,0.235615074
708,0.235801375
709,0.235976487
710,0.236140357
711,0.236329905
712,0.236471939
713,0.236671985
714,0.236852546
715,0.237013931
716,0.237154212
717,0.237266807
718,0.237421371
719,0.237554725
720,0.23770897
721,0.23779334
722,0.237877885
723,0.238027328
724,0.238061931
725,0.238279589
726,0.238549808
727,0.238753594
728,0.239002451
729,0.239230422
730,0.239451079
731,0.239707769
732,0.240004394
733,0.240105331
734,0.24034154
735,0.240550868
736,0.240683768
737,0.240819193
738,0.24097183
739,0.241095133
740,0.241283316
741,0.241422547
742,0.241584443
743,0.241745154
744,0.241865338
745,0.242050805
746,0.242181661
747,0.242423301
748,0.24262719
749,0.242853857
750,0.24304649
751,0.243218809
752,0.243474922
753,0.243717932
754,0.243935733
755,0.24412583
756,0.244360865
757,0.244742217
758,0.244966307
759,0.245167865
760,0.24533864
761,0.245708856
762,0.24613771
763,0.246522761
764,0.246889452
765,0.247209103
766,0.247433744
767,0.247601589
768,0.248009048
769,0.248463827
770,0.248882907
771,0.249316841
772,0.249769197
773,0.250113911
774,0.250462016
775,0.250830239
776,0.251156126
777,0.251499906
778,0.251829133
779,0.252101994
780,0.252418414
781,0.252735835
782,0.253019974
783,0.253317332
784,0.253594012
785,0.25390615
786,0.254188377
787,0.254418462
788,0.254732638
789,0.254999541
790,0.255219232
791,0.255564037
792,0.255962501
793,0.256227968
794,0.25646619
795,0.256705215
796,0.257038438
797,0.257261439
798,0.257470717
799,0.257971123
800,0.258287056
801,0.25904898
802,0.25975791
803,0.260537995
804,0.261183194
805,0.261922843
806,0.262782672
807,0.263455456
808,0.264139192
809,0.265002414
810,0.265597148
811,0.266137665
812,0.266700186
813,0.267318861
814,0.267892072
815,0.268479551
816,0.269036806
817,0.269592992
818,0.270112321
819,0.27074659
820,0.271177263
821,0.271638843
822,0.272267772
823,0.272850623
824,0.273416199
825,0.274018955
826,0.274623642
827,0.275208887
828,0.275798024
829,0.276316608
830,0.276834803
831,0.277353202
832,0.277861161
833,0.278437602
834,0.278883983
835,0.279350944
836,0.279763935
837,0.280180224
838,0.280626725
839,0.281079385
840,0.281549467
841,0.282042315
842,0.282538785
843,0.283059185
844,0.283796461
845,0.284545612
846,0.285322371
847,0.286082402
848,0.286822648
849,0.287520562
850,0.288284455
851,0.289011635
852,0.289788682
853,0.290523912
854,0.291216256
855,0.291840416
856,0.292525994
857,0.293143609
858,0.293718841
859,0.294393017
860,0.295087239
861,0.295707619
862,0.296419929
863,0.297069145
864,0.297757378
865,0.298367076
866,0.298975401
867,0.299601541
868,0.30036226
869,0.30121151
870,0.30204422
871,0.302847238
872,0.30369453
873,0.304501232
874,0.305343147
875,0.306169008
876,0.307091625
877,0.308002886
878,0.308972764
879,0.309844155
880,0.310722354
881,0.311586124
882,0.312360872
883,0.313139578
884,0.313942162
885,0.314800718
886,0.315645942
887,0.316497587
888,0.317366463
889,0.318288433
890,0.318970687
891,0.319602948
892,0.320330369
893,0.321085774
894,0.32181086
895,0.322444641
896,0.32310573
897,0.32376899
898,0.324376877
899,0.324987449
900,0.325666591
901,0.326407712
902,0.327140673
903,0.327823148
904,0.328522702
905,0.329227591
906,0.32989313
907,0.330630316
908,0.331434098
909,0.332194835
910,0.333113025
911,0.333899759
912,0.334645845
913,0.335286947
914,0.336045789
915,0.336746771
916,0.337557608
917,0.338354102
918,0.339302243
919,0.340268768
920,0.341081208
921,0.341980471
922,0.34267889
923,0.343490122
924,0.344132267
925,0.344828498
926,0.345688003
927,0.346577409
928,0.347578229
929,0.348528649
930,0.349470749
931,0.350398128
932,0.351396788
933,0.352309461
934,0.353243145
935,0.354267868
936,0.355243319
937,0.356180699
938,0.357091272
939,0.357969951
940,0.358796737
941,0.359560321
942,0.360333707
943,0.361160184
944,0.361957861
945,0.362876451
946,0.363652522
947,0.364348984
948,0.365083487
949,0.365848603
950,0.366453578
951,0.367074153
952,0.367702442
953,0.368525667
954,0.369358074
955,0.370160103
956,0.371054898
957,0.37198582
958,0.372808317
959,0.373813386
960,0.374657303
961,0.375495395
962,0.37628894
963,0.377151035
964,0.378327732
965,0.37923661
966,0.380227474
967,0.381257954
968,0.382315287
969,0.383332703
970,0.38434054
971,0.385408541
972,0.386380974
973,0.387239665
974,0.388114985
975,0.389067759
976,0.389985611
977,0.390913951
978,0.391827723
979,0.392772948
980,0.393850808
981,0.394748382
982,0.395692906
983,0.396528941
984,0.397425125
985,0.398898185
986,0.400341958
987,0.401532612
988,0.402354033
989,0.403208304
990,0.404027787
991,0.405104253
992,0.406157437
993,0.407019803
994,0.408001899
995,0.408793391
996,0.409686826
997,0.410602311
998,0.411574367
999,0.412418431
1000,0.413258024
1001,0.414816279
1002,0.415692013
1003,0.416485961
1004,0.418530502
1005,0.420226774
1006,0.421943909
1007,0.422915575
1008,0.423733319
1009,0.424489706
1010,0.425280233
1011,0.426190171
1012,0.427000671
1013,0.427889457
1014,0.428554567
1015,0.429227073
1016,0.430021053
1017,0.431499194
1018,0.432233968
1019,0.433112752
1020,0.433894483
1021,0.434679124
1022,0.435619671
1023,0.43643216
1024,0.437208304
1025,0.438130682
1026,0.438767889
1027,0.439517883
1028,0.440228755
1029,0.44097688
1030,0.441668957
1031,0.442389214
1032,0.443104074
1033,0.443759245
1034,0.444780555
1035,0.445704429
1036,0.446668519
1037,0.447629962
1038,0.448486657
1039,0.449296431
1040,0.450038698
1041,0.450791792
1042,0.45167692
1043,0.45248952
1044,0.453860982
1045,0.454746867
1046,0.455647503
1047,0.456480126
1048,0.457210893
1049,0.457958139
1050,0.458705897
1051,0.459387822
1052,0.460102148
1053,0.460795105
1054,0.461719166
1055,0.462609537
1056,0.463051203
1057,0.46351149
1058,0.463911158
1059,0.464415483
1060,0.465028042
1061,0.465703763
1062,0.466243051
1063,0.466786501
1064,0.46736037
1065,0.467882065
1066,0.46846407
1067,0.46916613
1068,0.470182469
1069,0.470567363
1070,0.47101602
1071,0.471569564
1072,0.472140207
1073,0.47265817
1074,0.473050666
1075,0.473584818
1076,0.474120096
1077,0.474651355
1078,0.475204829
1079,0.475772443
1080,0.476192873
1081,0.476621845
1082,0.477077233
1083,0.47750563
1084,0.478581811
1085,0.479202918
1086,0.479639816
1087,0.480190847
1088,0.480653959
1089,0.48146798
1090,0.482026229
1091,0.482458506
1092,0.482779011
1093,0.483061631
1094,0.483463478
1095,0.483930658
1096,0.484411308
1097,0.484902329
1098,0.485481905
1099,0.485971155
1100,0.486179654
1101,0.486482921
1102,0.486618106
1103,0.486755325
1104,0.486756548
1105,0.487042921
1106,0.48726377
1107,0.487202976
1108,0.487380402
1109,0.487655236
1110,0.487555969
1111,0.487790465
1112,0.488119511
1113,0.488469775
1114,0.488729183
1115,0.489034963
1116,0.489108668
1117,0.489059129
1118,0.489015526
1119,0.489016309
1120,0.48888173
1121,0.488878609
1122,0.488906994
1123,0.488832773
1124,0.48877472
1125,0.488780164
1126,0.488782266
1127,0.488698193
1128,0.488646562
1129,0.488576586
1130,0.488580992
1131,0.488575376
1132,0.488615575
1133,0.488690774
1134,0.488719786
1135,0.488861685
1136,0.488919153
1137,0.489098856
1138,0.489313208
1139,0.489494385
1140,0.489675872
1141,0.489915763
1142,0.490170128
1143,0.490518382
1144,0.490722303
1145,0.490750705
1146,0.490785746
1147,0.49083184
1148,0.490867005
1149,0.491013988
1150,0.491101321
1151,0.49116085
1152,0.491057118
1153,0.491120137
1154,0.491183224
1155,0.491274757
1156,0.491335872
1157,0.491364771
1158,0.491464247
1159,0.49139201
1160,0.491401109
1161,0.491287232
1162,0.491260906
1163,0.491117273
1164,0.491096406
1165,0.491023369
1166,0.491052744
1167,0.491039192
1168,0.49091779
1169,0.490521034
1170,0.490108449
1171,0.489727774
1172,0.48948487
1173,0.489187653
1174,0.488935991
1175,0.488694998
1176,0.488332442
1177,0.487962194
1178,0.487549319
1179,0.487012617
1180,0.486586282
1181,0.486101871
1182,0.485586956
1183,0.485119399
1184,0.484676189
1185,0.484180953
1186,0.483657437
1187,0.483210101
1188,0.482682446
1189,0.482163474
1190,0.4815859
1191,0.481122607
1192,0.480656153
1193,0.480227841
1194,0.47971404
1195,0.47932499
1196,0.478975986
1197,0.478491273
1198,0.478105665
1199,0.477703805
1200,0.477359661
1201,0.476865247
1202,0.476312509
1203,0.475767479
1204,0.475105605
1205,0.474529179
1206,0.473960043
1207,0.473412049
1208,0.472882261
1209,0.472308728
1210,0.471864706
1211,0.471242817
1212,0.470707385
1213,0.470131077
1214,0.469515668
1215,0.468832445
1216,0.468232878
1217,0.467624674
1218,0.466949117
1219,0.466208172
1220,0.465421492
1221,0.464825522
1222,0.464142695
1223,0.463547819
1224,0.462868089
1225,0.462294051
1226,0.46159003
1227,0.460947314
1228,0.460236691
1229,0.459365854
1230,0.458519361
1231,0.45765721
1232,0.456793887
1233,0.455862977
1234,0.455021127
1235,0.454147667
1236,0.453198199
1237,0.452373906
1238,0.45150001
1239,0.450678293
1240,0.449745699
1241,0.44892703
1242,0.448097484
1243,0.447318974
1244,0.446541505
1245,0.445778838
1246,0.444882195
1247,0.444120921
1248,0.443340721
1249,0.442586083
1250,0.441826103
1251,0.441055205
1252,0.440284396
1253,0.439508182
1254,0.438704948
1255,0.437868389
1256,0.437107083
1257,0.436272292
1258,0.435446066
1259,0.434748482
1260,0.433837358
1261,0.433078952
1262,0.432295209
1263,0.431535436
1264,0.430753168
1265,0.429604225
1266,0.428719095
1267,0.427720301
1268,0.426746296
1269,0.425846199
1270,0.424986252
1271,0.42408193
1272,0.423061999
1273,0.422202446
1274,0.42144603
1275,0.420648903
1276,0.419735552
1277,0.418858302
1278,0.417978253
1279,0.417120131
1280,0.416219434
1281,0.41521564
1282,0.414398914
1283,0.413525824
1284,0.412704522
1285,0.411837719
1286,0.410392397
1287,0.408936897
1288,0.407708122
1289,0.406887617
1290,0.406027578
1291,0.405184236
1292,0.404060736
1293,0.402975052
1294,0.402094015
1295,0.401086845
1296,0.400264577
1297,0.399327046
1298,0.398375072
1299,0.397380643
1300,0.396547345
1301,0.395712251
1302,0.394161306
1303,0.393270669
1304,0.392482355
1305,0.39038623
1306,0.388623247
1307,0.386920931
1308,0.385971366
1309,0.385156498
1310,0.384374278
1311,0.383504154
1312,0.382519725
1313,0.381596059
1314,0.380625376
1315,0.379831952
1316,0.379085827
1317,0.378194176
1318,0.376640395
1319,0.375830761
1320,0.374861677
1321,0.373997988
1322,0.373115164
1323,0.372151889
1324,0.37127629
1325,0.37040532
1326,0.369465484
1327,0.368662876
1328,0.367712147
1329,0.36686656
1330,0.365951424
1331,0.365108749
1332,0.364240061
1333,0.363340458
1334,0.362450712
1335,0.361361143
1336,0.360268826
1337,0.35917894
1338,0.358110145
1339,0.357070356
1340,0.356079368
1341,0.355215919
1342,0.35427978
1343,0.353221678
1344,0.352207869
1345,0.350703593
1346,0.349691143
1347,0.348609964
1348,0.347592931
1349,0.346585606
1350,0.345581123
1351,0.344565883
1352,0.343711189
1353,0.342796971
1354,0.341913122
1355,0.340803989
1356,0.339763517
1357,0.339117269
1358,0.338422446
1359,0.337670225
1360,0.336969029
1361,0.33615518
1362,0.335358651
1363,0.334499644
1364,0.333567584
1365,0.332709383
1366,0.331856742
1367,0.33101474
1368,0.330156211
1369,0.329030887
1370,0.328346332
1371,0.327568834
1372,0.326561444
1373,0.325630284
1374,0.324704977
1375,0.32397108
1376,0.32310579
1377,0.322203344
1378,0.321272983
1379,0.320386082
1380,0.319399927
1381,0.318630382
1382,0.317809817
1383,0.317006321
1384,0.316186315
1385,0.314790178
1386,0.313837569
1387,0.312985557
1388,0.312071533
1389,0.311299718
1390,0.310055607
1391,0.309171714
1392,0.308459142
1393,0.30774355
1394,0.307094665
1395,0.306441839
1396,0.3056586
1397,0.304832694
1398,0.304026118
1399,0.303126888
1400,0.30231601
1401,0.301442818
1402,0.300736581
1403,0.300095167
1404,0.299430715
1405,0.298895855
1406,0.298130229
1407,0.29728277
1408,0.296736289
1409,0.29607659
1410,0.295300306
1411,0.294701453
1412,0.294087742
1413,0.293402927
1414,0.292682457
1415,0.29197482
1416,0.29126748
1417,0.290789416
1418,0.290408483
1419,0.289982534
1420,0.289535168
1421,0.28915534
1422,0.288739421
1423,0.288264495
1424,0.2878213
1425,0.28745865
1426,0.287070063
1427,0.286627323
1428,0.286254139
1429,0.285848
1430,0.285420617
1431,0.285003103
1432,0.284499539
1433,0.283891599
1434,0.283322324
1435,0.282752408
1436,0.282085434
1437,0.281406857
1438,0.28069996
1439,0.279938882
1440,0.279216921
1441,0.278487951
1442,0.277680494
1443,0.276916414
1444,0.276064931
1445,0.275344769
1446,0.27457798
1447,0.273759234
1448,0.27292294
1449,0.27210872
1450,0.271221755
1451,0.270462115
1452,0.269625242
1453,0.268937894
1454,0.268076979
1455,0.267242187
1456,0.266406054
1457,0.265652557
1458,0.264879272
1459,0.264049769
1460,0.263361281
1461,0.26257846
1462,0.261851489
1463,0.261124783
1464,0.260438717
1465,0.259738948
1466,0.259081416
1467,0.258393269
1468,0.257641134
1469,0.256979874
1470,0.256533287
1471,0.256004666
1472,0.255473333
1473,0.254813669
1474,0.254253091
1475,0.25367375
1476,0.253068842
1477,0.252550889
1478,0.251944428
1479,0.251370696
1480,0.250892436
1481,0.250379555
1482,0.249901979
1483,0.249440434
1484,0.248965308
1485,0.248500408
1486,0.248058795
1487,0.247592944
1488,0.247031839
1489,0.246551584
1490,0.246055841
1491,0.245540051
1492,0.245030962
1493,0.244573171
1494,0.244005026
1495,0.243549284
1496,0.243014479
1497,0.242491784
1498,0.24201517
1499,0.241493526
1500,0.240999174
1501,0.240475881
1502,0.239993591
1503,0.239509481
1504,0.239061083
1505,0.238740215
1506,0.238345149
1507,0.237935256
1508,0.237535373
1509,0.237111281
1510,0.236741836
1511,0.236251727
1512,0.235793015
1513,0.235383455
1514,0.235007741
1515,0.23467404
1516,0.234349588
1517,0.23408957
1518,0.233721404
1519,0.233400833
1520,0.23302706
1521,0.232698754
1522,0.232295541
1523,0.231901346
1524,0.231508143
1525,0.231165531
1526,0.230810411
1527,0.230502422
1528,0.230082485
1529,0.229728208
1530,0.229398985
1531,0.229075159
1532,0.228781593
1533,0.228481251
1534,0.228199608
1535,0.22790911
1536,0.227593724
1537,0.227285466
1538,0.226937303
1539,0.226660874
1540,0.226348697
1541,0.22611624
1542,0.2258511
1543,0.225633703
1544,0.225327326
1545,0.225017016
1546,0.224721389
1547,0.224462175
1548,0.224201847
1549,0.223924924
1550,0.223646408
1551,0.22334959
1552,0.223097136
1553,0.222806981
1554,0.222491401
1555,0.222214972
1556,0.221922385
1557,0.221613185
1558,0.221387135
1559,0.221177124
1560,0.220946385
